BG,Biogas plant
BM,Biomethane plant
BP,Biodiesel plant
COF,Central Office (Group of farms/plantations)
COP,Central Office (Group of Points of Origin)
CP,Collecting Point (for waste/residue material not grown/harvested on farms/plantations)
CPP,Co-Processing plant
CR,Crushing plant
EP,Ethanol plant
ET,ETBE plant
FA,Farm / Plantation
FG,First Gathering Point (for biomass grown/harvested on farms/plantations)
HVO,HVO plant
ISHC,Central Office for Independent Smallholders
LC,Logistic Center
LP,Liquefaction Plant
ML,Methanol plant
MP,Melting plant
MT,MTBE plant
OM,Oil mill
OT,Other conversion unit
PM,Pulp mill
PO,Point of Origin
PP,Polymerization plant
PYP,Polymerization plant
RE,Refinery
SC,Steam cracking
SM,Sugar mill
TR,Trader
TRS,Trader with storage
TW,Treatment plant for waste/ residues
WH,Warehouse
WR36,acc. to 36th BImSchV (double counting of biofuels in Germany)
WR,acc. to 36th BImSchV (double counting of biofuels in Germany)
