code,desc_de,desc_en,desc_fr
aBM,andere Biomasse,Other biomass,
AuR,Abfall und Reststoffe,waste and residues,
BD,Biodiesel,Biodiesel,
BG,Biogas,Biogas,
Bio-LNG,Bio-LNG,Bio-LNG,
BM,Biomethan (Dichte 0,72 kg/m3),Biomethane (density 0.72 kg/m3),
DL,Dick-Sulfitablauge, "Thick,black liquor",
DS,Dicksaft,Thick juice,
ETOH,Ethanol,Ethanol,
FAME,Fettsäuremethylester,Fatty acid methyl ester,
FS,Fettsäuren,Fatty acids,
G,Getreide,Cereals,
HF,Hopfen,Hops,
MEL,Melasse,Molasses,
ML,Mehl,Flour,
MS,Mais,Corn,
MZ,Malz,Malt,
ÖS,Ölsaat,Oilseed,
PFÖ,Pflanzenöl,Vegetable oil,
PÖ,Palmöl,Palm oil,
PYÖ,Pyrolyseöl,Pyrlysis oil,
RS,Rapssaat,Rapeseed,
SB,Sojabohnen,Soybeans,
SBG / SBM,Substrate f. Biogas/Biomethan,Substrate for biogas/biomethane,
SBM,Substrate f. Biomethan,Substrate for biomethane,
SBG,Substrate f. Biogas,Substrate for biogas,
SBS,Sonnenblumensaat,Sunflower seed,
SH,Stroh,Straw,
SLS,Schleimstoffe,Plant mucilage,
SP,Seife aus der Sulfatherstellung,Soap from sulphate production,
SPÖ,Speiseöl,Cooking oil,
UCO,Altspeisefett -öl,Used cooking oil,
ZK,Zucker,Sugar,
ZR,Zuckerrüben,Sugar beet,
