scope,desc_de,desc_en,desc_fr
101,Gruppe von Anbaubetrieben/Zentralbüro,group of farms/central office,
102,Anbaubetrieb,farm,
103,Entstehungsbetrieb/Anfallstelle,point of origin,
201,Ersterfasser,first gathering point,
202,Sammler von Abfällen und Reststoffen,collector of wastes/residues,
301,Ölmühle / Pflanzenölraffinerie,oil mill/fat refinery,
302,Zuckerfabrik / Zuckerfabrik,sugar mill,
303,Biogasanlage,biogas plant,
304,Fettaufbereitungsanlage / Fettschmelze,waste oil/fat treatment plant / fat melting plant,
305,Bioethanolanlage - keine Kraftstoffqualität,bioethanol plant - no fuel quality,
306,Abfallaufbereitungsanlage,waste recycling plant,
308,Zellstoff-Fabrik - Dünnlauge,pulp factory - thin liquor,
401,Ölmühle/Pflanzenölraffinerie,oil mill/fat refinery (pure fuel / bioliquid),
403,Veresterungsanlage,esterification plant,
404,Hydrieranlage,hydrogenation unit,
405,Bioethanolanlage,bioethanol plant,
406,Biogasanlage (EEG-Anlage),biogas plant,
407,Biogasaufbereitungsanlage,biogas upgrading plant,
408,Zellstoff-Fabrik,pulp factory,
409,Biomethanolanlage,biomethanol unit,
410,Co-Prozess-Hydrieranlage,co-process hydrogenation plant,
411,Biomethan Verflüssigungsanlage,Biomethane liquefaction plant,
501,Lieferant (vor der letzten Schnittstelle),supplier (before the last interface),
502,Lieferant (nach der letzten Schnittstelle),supplier (after the last interface),
503,ETBE-Anlage,ETBE plant,
504,MTBE-Anlage,MTBE plant,
505,TAEE-Anlage,TAEE plant,
601,Konversionsanlage,conversion unit,
701,Vorgelagerte Konversionsanlage/Herstellungs- und Anlagenverbund,upstream conversion unit/Integrated manufactoring sites and plants,
801,Konversionsanlage/Herstellungs- und Anlagenverbund,conversion unit/Integrated manufactoring sites and plants,
901,Nachgelagerte Konversionsanlage/Herstellungs- und Anlagenverbund,downstream conversion unit/Integrated manufactoring sites and plants,
